,종목명,현재가,전일비,등락률,액면가,거래량,거래대금,전일거래량,시가,고가,저가,매수호가,매도호가,매수총잔량,매도총잔량,상장주식수,시가총액,매출액,자산총계,부채총계,영업이익,당기순이익,주당순이익,보통주배당금,매출액증가율,영업이익증가율,외국인비율,PER,ROE,ROA,PBR,유보율
61,코웨이,"80,100",0,0.00%,500,"260,468","20,771","163,747","80,100","80,400","79,100","80,000","80,100","7,593","20,152","73,800","59,113","32,374","30,290","15,390","6,064","4,047","5,772","1,200",7.24,32.33,59.93,13.88,31.51,13.76,3.53,"3,720.8"
62,미래에셋증권,"9,080",400,+4.61%,"5,000","4,420,292","39,858","1,032,759","8,860","9,120","8,770","9,080","9,090","462,676","339,796","635,316","57,687","168,358","1,309,469","1,216,007","11,171","8,343","1,317",200,9.10,53.46,14.00,6.89,8.94,0.62,0.58,136.8
63,한국타이어앤테크놀로지,"45,050",50,-0.11%,500,"357,503","16,127","215,950","44,450","45,600","44,250","45,050","45,100","11,796","45,334","123,875","55,806","64,531","106,585","32,464","6,283","3,852","4,981",650,-6.25,15.50,41.79,9.04,5.12,3.70,0.70,"12,331.9"
64,F&F,"712,000","11,000",-1.52%,500,"45,926","32,642","32,074","720,000","721,000","700,000","711,000","712,000","2,007",637,"7,661","54,549",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.55,N/A,N/A,N/A,15.47,N/A
65,삼성엔지니어링,"27,200",250,+0.93%,"5,000","4,452,226","120,522","9,287,583","27,350","27,600","26,550","27,200","27,250","181,753","493,159","196,000","53,312","67,492","47,556","31,738","3,612","2,521","1,611",N/A,5.59,-14.56,34.41,16.88,17.32,5.41,2.93,68.1
66,KODEX 200,"41,070",105,+0.26%,0,"2,463,552","100,854","5,613,806","40,820","41,140","40,675","41,070","41,075","164,629","262,019","127,600","52,405",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.64,N/A,N/A,N/A,N/A,N/A
67,현대중공업지주,"65,300","4,500",-6.45%,"1,000","913,404","60,573","357,375","70,500","70,600","65,200","65,300","65,400","77,244","21,150","78,993","51,582","189,110","265,590","154,611","-5,971","-7,897","-4,330","3,700",-28.99,-189.58,17.75,-15.08,-8.12,-3.02,0.69,"9,094.2"
68,LG이노텍,"216,000","7,000",+3.35%,"5,000","315,650","67,444","328,060","212,500","217,000","209,000","215,500","216,000","10,086","37,846","23,667","51,121","95,418","60,386","36,109","6,810","2,361","23,098",700,19.64,42.97,28.30,9.35,10.20,4.00,1.80,"1,990.2"
69,맥쿼리인프라,"12,600",50,+0.40%,0,"613,665","7,700","722,148","12,550","12,600","12,500","12,550","12,600","859,761","520,204","404,846","51,011",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.48,N/A,N/A,N/A,N/A,N/A
70,한국금융지주,"90,500","2,400",+2.72%,"5,000","349,604","31,321","134,124","87,700","90,500","87,200","90,300","90,500","26,543","19,785","55,726","50,432","165,117","704,377","648,054","8,564","8,600","21,040","3,000",53.29,-9.07,35.01,4.30,16.27,1.31,0.85,"1,745.4"
71,에스디바이오센서,"48,250","1,150",+2.44%,500,"937,030","44,928","1,243,170","47,150","48,700","46,450","48,200","48,250","14,044","39,294","103,271","49,828","16,862","14,617","7,041","7,383","6,216","6,597",535,"2,187.00","82,345.59",2.60,7.31,139.97,76.50,3.16,"1,504.8"
72,오리온,"126,000","1,000",+0.80%,500,"110,141","13,898","107,930","125,000","127,500","124,000","126,000","126,500","14,767","30,069","39,536","49,816","22,298","26,654","7,679","3,761","2,746","6,097",750,10.21,14.82,39.49,20.67,15.50,10.73,2.53,"6,173.3"
73,메리츠금융지주,"37,150",550,+1.50%,500,"258,074","9,560","152,474","36,150","37,900","36,100","37,100","37,150","35,209","48,194","134,011","49,785","284,706","695,644","626,871","13,721","9,253","4,616",900,27.58,42.58,8.23,8.05,16.06,1.41,1.42,"9,535.1"
74,이마트,"174,500","2,000",+1.16%,"5,000","176,549","30,730","148,478","171,000","175,000","171,000","174,000","174,500","12,115","65,000","27,876","48,643","220,330","223,404","118,438","2,372","3,626","20,261","2,000",15.58,57.42,35.09,8.61,4.05,1.67,0.52,"5,243.3"
75,한미사이언스,"69,700",400,-0.57%,500,"107,766","7,482","101,016","70,000","70,200","68,900","69,600","69,700","22,142","6,757","67,305","46,911","8,574","9,232","2,645",325,226,454,196,4.99,-14.44,1.44,153.52,3.47,2.46,6.83,"2,059.3"
76,유한양행,"64,500",300,-0.46%,"1,000","316,670","20,526","187,139","64,800","65,300","64,200","64,500","64,800","11,268","73,880","69,973","45,133","16,199","23,935","5,470",843,"1,904","1,375",382,9.42,572.12,17.87,46.91,11.06,8.44,2.24,"2,653.9"
77,삼성증권,"49,400",500,+1.02%,"5,000","255,970","12,593","217,505","48,750","49,450","48,600","49,350","49,400","14,456","58,261","89,300","44,114","110,024","638,697","585,526","6,780","5,078","10,237","2,200",65.30,30.99,30.13,4.83,9.89,0.94,0.78,"1,059.7"
78,아모레G,"53,100",500,+0.95%,500,"194,636","10,208","99,946","52,600","53,200","51,600","53,000","53,100","8,499","20,807","82,458","43,785","49,301","77,887","15,167","1,507",220,"1,570",230,-21.55,-69.76,16.87,33.82,0.31,0.27,1.39,"7,107.1"
79,DB손해보험,"60,800",600,-0.98%,500,"175,561","10,685","87,070","61,100","61,400","60,600","60,800","60,900","31,481","7,938","70,800","43,046","201,106","600,513","535,467","7,310","5,611","9,751","2,200",7.68,43.65,42.92,6.24,9.08,0.97,0.57,"18,705.3"
80,두산밥캣,"42,300",800,+1.93%,500,"246,777","10,329","255,128","41,200","42,300","41,150","42,300","42,350","5,712","37,820","100,249","42,405","42,821","69,606","28,868","3,939","2,475","3,801",N/A,-5.05,-17.43,25.65,11.13,6.15,3.62,0.97,"9,146.4"
81,쌍용C&E,"8,350",110,-1.30%,100,"992,102","8,347","557,741","8,460","8,500","8,350","8,350","8,430","177,947","80,624","503,860","42,072","14,708","33,268","16,371","2,502","1,382",310,440,-4.40,9.14,3.80,26.94,7.92,4.13,2.50,"3,389.3"
82,녹십자,"358,500","6,500",-1.78%,"5,000","65,212","23,395","74,217","359,000","363,500","355,000","358,000","358,500","7,689","4,755","11,687","41,896","15,041","21,514","8,821",503,893,"7,998","1,500",10.83,20.56,21.52,44.82,7.48,4.34,3.65,"1,872.7"
83,한진칼,"62,500",200,-0.32%,"2,500","140,979","8,875","92,601","62,800","63,900","62,400","62,500","62,600","16,834","12,155","66,739","41,712","4,088","34,886","18,243","-2,211","-3,415","-1,465",0,-66.03,"-5,597.63",14.96,-42.66,-19.55,-11.05,2.94,466.6
84,KCC,"454,000","4,000",-0.87%,"5,000","48,078","21,708","59,434","457,500","457,500","446,500","453,500","454,000","2,293","5,345","8,886","40,345","50,836","123,476","71,016","1,338","5,609","96,060","5,700",86.93,0.48,13.31,4.73,12.79,5.16,0.65,"12,809.9"
85,GS,"43,050",550,-1.26%,"5,000","354,778","15,286","272,565","43,850","43,850","42,800","43,000","43,050","14,745","33,166","92,915","40,000","154,442","244,768","137,203","9,206","-1,878","8,792","1,900",-13.17,-54.72,19.31,4.90,-2.82,-0.76,0.45,"2,326.4"
86,팬오션,"7,480",80,+1.08%,"1,000","5,341,871","39,707","3,620,929","7,370","7,510","7,270","7,470","7,480","850,166","540,109","534,570","39,986","24,972","46,593","18,527","2,252",907,326,50,1.19,7.23,11.95,22.94,3.25,1.99,1.32,424.8
87,GS건설,"46,150",50,+0.11%,"5,000","741,765","34,178","1,342,253","46,150","46,500","45,400","46,150","46,200","65,365","89,706","85,581","39,496","101,229","137,707","94,586","7,504","3,297","3,790","1,200",-2.82,-2.20,26.60,12.18,7.68,2.45,0.88,964.4
88,삼성카드,"33,800",300,-0.88%,"5,000","139,848","4,742","68,575","34,050","34,200","33,800","33,800","34,050","44,203","35,846","115,859","39,160","33,671","233,989","162,793","5,343","3,988","3,956","1,800",2.24,18.81,8.22,8.54,5.69,1.76,0.50,"1,123.7"
89,삼성중공업,"6,150",90,-1.44%,"1,000","5,901,715","36,057","6,502,523","6,230","6,240","6,050","6,140","6,150","538,327","501,124","630,000","38,745","68,603","129,222","92,039","-10,541","-14,927","-2,281",0,-6.66,-70.97,14.50,-2.70,-33.06,-11.26,1.37,57.7
90,CJ대한통운,"169,000","1,000",+0.60%,"5,000","34,678","5,845","26,390","167,000","171,000","166,000","168,500","169,000","13,506","10,393","22,812","38,553","107,811","96,435","56,036","3,253","1,426","1,526",N/A,3.51,5.91,23.05,110.75,3.89,1.52,0.98,"2,670.2"
